Model,Score
princeton-nlp/Mistral-7B-Instruct-DPO,224.0
princeton-nlp/Mistral-7B-Instruct-IPO,227.0
princeton-nlp/Mistral-7B-Instruct-KTO,238.0
princeton-nlp/Mistral-7B-Instruct-ORPO,214.0
princeton-nlp/Mistral-7B-Instruct-RDPO,231.0
princeton-nlp/Mistral-7B-Instruct-RRHF,225.0
princeton-nlp/Mistral-7B-Instruct-SLiC-HF,214.0
princeton-nlp/Mistral-7B-Instruct-SimPO,233.0
prithivMLmods/COCO-7B-Instruct-1M,407.0
prithivMLmods/Deepthink-Reasoning-7B,448.0
prithivMLmods/Megatron-Opus-7B-Exp,389.0
prithivMLmods/QwQ-LCoT-7B-Instruct,447.0
prithivMLmods/QwQ-LCoT2-7B-Instruct,458.0
prithivMLmods/QwQ-MathOct-7B,448.0
prithivMLmods/QwQ-R1-Distill-7B-CoT,378.0
prithivMLmods/Qwen-7B-Distill-Reasoner,380.0
prithivMLmods/Qwen2.5-7B-DeepSeek-R1-1M,154.0
prithivMLmods/Sqweeks-7B-Instruct,427.0
prithivMLmods/Taurus-Opus-7B,401.0
prithivMLmods/Viper-Coder-7B-Elite14,141.0
prithivMLmods/WebMind-7B-v0.1,442.0
rombodawg/Rombos-Coder-V2.5-Qwen-7b,375.0
rombodawg/Rombos-LLM-V2.5-Qwen-7b,471.0
rootxhacker/apollo-7B,207.0
rsh345/mistral-ft-optimized-1218-NeuralHermes-2.5-Mistral-7B,257.0
sarvamai/OpenHathi-7B-Hi-v0.1-Base,157.0
schnapss/testmerge-7b,259.0
sci-m-wang/Mistral-7B-Instruct-sa-v0.1,184.0
sci-m-wang/deepseek-llm-7b-chat-sa-v0.1,189.0
senseable/WestLake-7B-v2,246.0
sethuiyer/Qwen2.5-7B-Anvita,445.0
shivam9980/mistral-7b-news-cnn-merged,218.0
siqi00/Mistral-7B-DFT,264.0
skymizer/Llama2-7b-sft-chat-custom-template-dpo,163.0
sometimesanotion/KytheraMix-7B-v0.2,473.0
sometimesanotion/Qwen2.5-7B-Gordion-v0.1,464.0
sometimesanotion/Qwen2.5-7B-Gordion-v0.1-Prose,460.0
