Model_Name,Theta_ATLAS,Theta_WLE,SE,Num_Items,Time_Taken_Sec
FairMind/Phi-3-mini-4k-instruct-bnb-4bit-Ita,-0.964446273664515,-0.906773359334935,0.13536615814597,30,11.6136002540588
Eurdem/Defne_llama3_2x8B,-0.471690241714458,-0.382916347193441,0.111162793252782,30,11.6144409179688
FallenMerick/Chunky-Lemon-Cookie-11B,0.69252103691526,0.587980708080284,0.0640078136234963,30,11.6409945487976
fblgit/UNA-ThePitbull-21.4-v1,1.48800642179852,0.493812876977915,0.063903990976061,30,11.662303686142
FelixChao/Llama-3-Petro-Instruct-v1,-1.21009463842505,-1.22837821593638,0.136046719833229,30,11.616888999939
FelixChao/ShadowNeural-7B-ORPO,0.492999987900786,0.462414300532924,0.0634561300078599,30,11.6515302658081
FelixChao/ShadowNeural-7B-v1,2.05338441092013,2.07677508408392,0.151218912828627,30,11.6004245281219
Fischerboot/mergekit-slerp-awrvish,-0.457340498479085,-0.459991435988872,0.110091372034048,30,11.6612379550934
FlagAlpha/Llama3-Chinese-8B-Instruct,-1.05174825031996,-1.09805025236633,0.140472472726417,30,11.66517329216
flammenai/flammen18X-mistral-7B,1.2488972702358,1.30915695839501,0.0638188395200921,30,11.6740925312042
flammenai/flammen20-mistral-7B,0.995932499511393,0.997730534764642,0.0643901212188062,30,11.6329064369202
flammenai/flammen22-mistral-7B,0.999375882672734,1.01353264612004,0.0652170501159889,30,11.6652677059174
flammenai/flammen22C-mistral-7B,1.08139368819658,1.00154207124506,0.0651945334773206,30,11.6362295150757
flammenai/flammen21X-mistral-7B,1.01030208411977,1.04846554486377,0.066951788909351,30,11.6497526168823
flammenai/flammen23-mistral-7B,0.403805708982961,0.625649356164757,0.0891015677746662,30,11.6364452838898
flammenai/flammen23X-mistral-7B,0.707004208758121,0.669545188148043,0.0655062957915242,30,11.658096075058
flammenai/flammen24-mistral-7B,0.593837710090785,0.635096106228974,0.0806508036046348,30,11.6572172641754
flammenai/flammen26-mistral-7B,0.718972549300996,0.677726580669153,0.060639480052192,30,11.6703531742096
flammenai/Mahou-1.0-llama3-8B,-0.206128583391421,-0.317909917444891,0.116207267669705,30,11.6543064117432
flammenai/Mahou-1.0-mistral-7B,0.67357405077019,0.610622708850953,0.0654842305391525,30,11.6297428607941
flammenai/flammen27-mistral-7B,0.735294904771034,0.741635013173445,0.0597227232961015,30,11.6406886577606
flammenai/Mahou-1.1-llama3-8B,-0.56278665016411,-0.474093177563069,0.110284654268507,30,11.6132438182831
flammenai/Mahou-1.1-mistral-7B,0.745748127796929,0.579361080567551,0.0624842736461034,30,11.6746408939362
